parameter,period,canonical_word,sign_word,contraction_iterations,contraction_delta,contraction_error_bound,recurrence_residual,monodromy_trace,monodromy_determinant,unstable_multiplier,unstable_modulus,orientation,instability_length,action,coordinates
6.0,1,--,-,115,7.3120804878523471703322893934083725575043535154491367918477075898808951083083951e-66,1.42001791294120140599599444500961168141114976746157969506090123704650621897564e-65,1.462416097570469012378540149460745537557908652289067049971086223235877018551158e-65,7.2915026221291811810032315072785208514205183661649003607366689183689731666822613,1.0,7.1516752438003225482567576575019234306255514021949662612569612092265908438126726,7.1516752438003225482567576575019234306255514021949662612569612092265908438126726,1,1.9673466290942101963808110072397098433352359739774486554783105168047801827854722,0.52815294773059507654650574584212635148095952373291020856626557804458299560392566,-0.60762521851076509841693595893987673761837653051374169672805574319741443055685511
6.0,3,--|+-|-+,-+-,112,3.2626291820871772285386127324969115937639467913566851990976645465808326631538354e-66,6.336078889647537453601387005026598771526299283106562907798601413778384036176469e-66,6.3417742199213683467764892963867823602560830296757345522460746466739735104398277e-66,-131.91485505499116724918529408671360188850597110368408041937768430858375954559798,1.0,-131.90727397193267890007053770244451464026667721757872212306443506676627375266699,131.90727397193267890007053770244451464026667721757872212306443506676627375266699,-1,4.8820992058291742142250379588284958751201922883202319291927950814151057254731977,0.049635923842573120037886450808451503281538737001067196691749744945418604225722676,-0.37267799624996494940152894478854603924010305993525428737848287423651238244091565;0.53934466291663161606819561145521270590676972660192095404514954090314551848155952;-0.37267799624996494940152894478854603924010305993525428737848287423651238244091565
6.0,4,--|--|+-|-+,--+-,3,0.0,0.0,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,-1044.3020306143701948538785423435311472574619162860806646590769729121843924718045,1.0,-1044.3010730361144408088984864030101337479548341580315757033957434425249877201335,1044.3010730361144408088984864030101337479548341580315757033957434425249877201335,-1,6.9511031110020816309159034775258388245925982421207650560519708862054350696303055,0.54433105395181735515495201660130919821465499570148225076282057050021341721273667,-0.55022670796192818529444703704024851459647823563459190234345777444735259959290261;-0.4082482904638630163662140124509818986609912467761116880721154278751600629095525;0.55022670796192818529444703704024851459647823563459190234345777444735259959290261;-0.4082482904638630163662140124509818986609912467761116880721154278751600629095525
6.0,4,--|+-|++|-+,-++-,2,0.0,0.0,0.0,578.0,0.99999999999999999999999999999999999999999999999999999999999999999999999999998273,577.99826989101509152307778472908659325820845772129201484973839978863583568557936,577.99826989101509152307778472908659325820845772129201484973839978863583568557936,1,6.3595708753997576538339430555389376624247219620493645655490839350709118868317423,0.0,-0.4082482904638630163662140124509818986609912467761116880721154278751600629095525;0.4082482904638630163662140124509818986609912467761116880721154278751600629095525;0.4082482904638630163662140124509818986609912467761116880721154278751600629095525;-0.4082482904638630163662140124509818986609912467761116880721154278751600629095525
6.0,5,--|--|--|+-|-+,---+-,96,3.1476797297747755951846049270200743825525928379079019590455511168515113782660945e-66,6.1128451853173303678833698556354092882280983028863359998049519119175080061864964e-66,1.936499640340323921422069358924119951450766548506732775138871209042465084097678e-66,-7606.5345033060423332332432336919394678662940503466758191134111317123198116201949,1.0000000000000000000000000000000000000000000000000000000000000000000000000022109,-7606.5343718401274874312704185817826541920241109988376462419572863816703613584542,7606.5343718401274874312704185817826541920241109988376462419572863816703613584542,-1,8.9367629426388002086036814596184180261579739810181129354005965285168262200395196,1.0678014954190719241479270384430499375461486920792831098083296446282122956748805,-0.57574114864685821701253666117327998429938757291288401531726145239336687400199352;-0.57574114864685821701253666117327998429938757291288401531726145239336687400199352;-0.41312607282436391897038850867844279825714418166520637882979931898668772539367817;0.55170223636316837602192676892082054684545807803212153806162502872598094605522795;-0.41312607282436391897038850867844279825714418166520637882979931898668772539367817
6.0,5,--|--|+-|++|-+,--++-,106,4.1983929804657121678791386185657198925159149170309837286886204306446521303534074e-66,8.1533473923492966311795228373641221140434935785108305497112795606416371518863066e-66,5.6772295044962051981802746221185584731224003580487747854945922883370752749232959e-66,4445.5242257187418490688262470834876925673224572347695248939736305914145344577069,1.0,4445.5240007733811163337187991366878969910161036168814642367451858710934403465665,4445.5240007733811163337187991366878969910161036168814642367451858710934403465665,1,8.3996530264383936627652925886113448344438278945721816751993496790033087830172697,0.50378541925168936412880185786971712989441286668038855989197833593002522180698693,-0.55886530952204493393347562807782908002456713639402336786300814477578550421428371;-0.43699130256151326370529139311493094905896209147969927397454551859201322473430282;0.41309691843559676167955719417577027204212587698032525566452287146706701714674743;0.41309691843559676167955719417577027204212587698032525566452287146706701714674743;-0.43699130256151326370529139311493094905896209147969927397454551859201322473430282
6.0,6,--|--|--|--|+-|-+,----+-,102,5.1295593867378512289501674140135748270641466024891158030164972713551067470206205e-66,9.9616876848723764184197071191924551651055988770518155604741375899931269607616e-66,6.8694750861984482547054826563772073503545694713476327678954244555197963663846177e-66,-54574.52707867903276346951828127312540626864180549905112249727435516730173061187,1.000000000000000000000000000000000000000000000000000000000000000000000000141495,-54574.527060355465819974569041642066291588244247710795767965411596098143241247947,54574.527060355465819974569041642066291588244247710795767965411596098143241247947,-1,10.907322515514456841261348397303722087203871275714489933309287835073620581153544,1.5953005303514695612756883375244953960170291631255573815916282640324283749575499,-0.57931184162211839232451060039762955046092575945918527034498436455511780402213951;-0.59980881443509936477763958208743303971131384339909471064486767375177360430564633;-0.57931184162211839232451060039762955046092575945918527034498436455511780402213951;-0.41380444462656293767421824640756238275871881707617864583460414810928274089636777;0.55190713126592923730558549612391556764271855507105222045424291836785816887055554;-0.41380444462656293767421824640756238275871881707617864583460414810928274089636777
6.0,6,--|--|--|+-|++|-+,---++-,101,4.5282505294807627439425462198157284748701679144472223542908394216001322178725775e-66,8.7939361127530409590953489355040060696714839125405807058503588151772659763108168e-66,7.3665052776227246324583188768436746835445654513124471611236582118423190960698406e-66,32222.061016817688840364647513477321798401307147857273365331326025308638472494524,0.99999999999999999999999999999999999999999999999999999999999999999999999996462625,32222.06098578305078784473350145006985719935274562664402170213709126986075000074,32222.06098578305078784473350145006985719935274562664402170213709126986075000074,1,10.38040662072442635640511835268746873620767585838646615124451091484831021563423,1.0285281176834123753152337139064749251841412696880426393547533783113882134300735,-0.58042910185799852433486796838039328881347975546100161078929030005443959885081743;-0.58042910185799852433486796838039328881347975546100161078929030005443959885081743;-0.4409585518440984317502692922732100709517098638470750300613890765327157514971784;0.41376243519133185766820130171372662214681308879433494412262363338874892534145634;0.41376243519133185766820130171372662214681308879433494412262363338874892534145634;-0.4409585518440984317502692922732100709517098638470750300613890765327157514971784
6.0,7,--|--|--|--|--|+-|-+,-----+-,106,4.4548865839419160464711944559506716204034096520788857233208988314497790253415248e-66,8.651462138345514279433520359084864983630581631951171842987834778243444637392473e-66,7.8945129316345076979698015794787550446341073025013235927004011142019632161327623e-66,-390511.4538625429365875674697022870216939048112420353215284511734211019268021701,0.99999999999999999999999999999999999999999999999999999999999999999999999094432092,-390511.45385998219223521730839187865185108253625465168476025417481109176669669921,390511.45385998219223521730839187865185108253625465168476025417481109176669669921,-1,12.875212579099284522293425001642766882050126490213996130356374130894721060080375,2.1233620770048445287636703985977274444286398875443924154621494717047873276754745,-0.57981098822030793598625277113709742496291498259108258763951315651419878721687716;-0.60318550060254436658881779674054443275445584294227064630341022233403045733647305;-0.60318550060254436658881779674054443275445584294227064630341022233403045733647305;-0.57981098822030793598625277113709742496291498259108258763951315651419878721687716;-0.41389919176351604204355540701945275688865294855378034129781847205283170645874805;0.55193574256535698108031745564163320918203592052585937375915935206524554782713465;-0.41389919176351604204355540701945275688865294855378034129781847205283170645874805
6.0,7,--|--|--|--|+-|++|-+,----++-,106,3.142437168841596527430574704035396838907829248498675018358800091058402646453801e-66,6.1026640467929832813654291401426080827857100337158255437035648200962386686726609e-66,5.5318558739207619705476286571375483769842297753652374589936237895446716906465195e-66,230985.61774499449289616557355953497358520173539798278302423120125920574796495379,0.99999999999999999999999999999999999999999999999999999999999999999999999773608023,230985.61774066521902283406903386968940255736246058351792077599646925211610282476,230985.61774066521902283406903386968940255736246058351792077599646925211610282476,1,12.350110726702721483597823873287488702511352244558759775271167720884363748624096,1.5562046435072222456128490577227056202476466748460812708704268976227370238943729,-0.58344781938668303771006992180312984147656514383788356001250986906637944646558154;-0.60095696445660262096144931863388667195552179222419829644172007417310842989518841;-0.58344781938668303771006992180312984147656514383788356001250986906637944646558154;-0.44151118322585044589051391384467731181172720276627399226242055741765484984467389;0.41385506990574013284963993939518342377726397148368119029485526831955650185562846;0.41385506990574013284963993939518342377726397148368119029485526831955650185562846;-0.44151118322585044589051391384467731181172720276627399226242055741765484984467389
